Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type,ang1,ang2,ang3,ang4,ang5,ang6,ang7
IRB 1660ID-6/1.55,19,257,6,1550,36.2,0.02,1809.3,287,6,IR,180,180,180,320,360,500,
IRB 1660ID-4/1.55,20,257,4,1550,24.1,0.02,1206.2,287,6,IR,180,180,180,320,360,500,
IRB 2400/10,21,380,10,1550,40.8,0.03,1359.6,270,6,IR,150,150,150,360,360,450,
IRB 2400/16,22,380,16,1550,65.3,0.03,2175.4,270,6,IR,150,150,150,360,360,450,
IRB 2600-20/1.65,23,272,20,1650,121.3,0.04,3033.1,291,6,IR,175,175,175,360,360,500,
IRB 2600-12/1.65,24,272,12,1650,72.8,0.04,1819.9,291,6,IR,175,175,175,360,360,500,
IRB 2600-12/1.85,25,284,12,1850,78.2,0.04,1954.2,291,6,IR,175,175,175,360,360,500,
IRB 2600ID-15/1.85,26,273,15,1850,101.6,0.026,3909.6,291,6,IR,175,175,175,360,360,500,
IRB 2600ID-8/2.00,27,276,8,2000,58,0.023,2520.5,291,6,IR,175,175,175,360,360,500,
IRB 4400/60,28,1040,60,1960,113.1,0.06,1884.6,199,6,IR,150,120,120,225,250,330,
IRB 4400/L10,29,1040,10,2530,24.3,0.05,486.5,255,6,IR,150,150,150,370,330,381,
IRB 460-110/2.4,30,925,110,2400,285.4,0.2,1427,194,4,IR,145,110,120,400,,,
IRB 4600-60/2.05,31,445,60,2050,276.4,0.06,4606.7,231,6,IR,175,175,175,250,250,360,
IRB 4600-45/2.05,32,445,45,2050,207.3,0.05,4146.1,231,6,IR,175,175,175,250,250,360,
IRB 4600-40/2.55,33,465,40,2550,219.4,0.06,3655.9,231,6,IR,175,175,175,250,250,360,
