Robot's model,Number in group,weight,payload,reach,A factor,Repeatability,B factor,avg,DOF,type
CYBERTECH KR 20 R1810 CR,42,250,23.9,1813,173.3,0.04,4333.1,342.5,6,IR
CYBERTECH KR 20 R1810 F,43,250,23.9,1813,173.3,0.04,4333.1,342.5,6,IR
CYBERTECH KR 20 R1810-HO,44,250,23.9,1813,173.3,0.04,4333.1,342.5,6,IR
CYBERTECH KR 20 R1810-2,45,255,23.9,1813,169.9,0.04,4248.1,342.5,6,IR
CYBERTECH KR 20 R1820-2 E,46,240,23.9,1820,181.2,0.04,4531,303.3,6,IR
CYBERTECH KR 20 R2010 KS F,47,242,23.9,2010,198.5,0.04,4962.7,342.5,6,IR
CYBERTECH KR 22 R1610-2,48,255,27.3,1612,172.6,0.04,4314.5,342.5,6,IR
CYBERTECH KR 8 R2100-2 arc HW,49,260,9.3,2101,75.2,0.04,1878.8,342.5,6,IR
IONTEC KR 20 R3100,50,549,23.6,3101,133.3,0.05,2666.1,309.2,6,IR
IONTEC KR 30 R2100,51,533,36,2101,141.9,0.05,2838.1,230.8,6,IR
IONTEC KR 50 R2100,52,533,61,2101,240.5,0.05,4809,231.7,6,IR
IONTEC KR 50 R2100 HO,53,533,61,2101,240.5,0.05,4809,231.7,6,IR
IONTEC KR 50 R2500 F,54,559,61,2501,272.9,0.05,5458.4,228,6,IR
IONTEC KR 50 R2500 HO,55,559,61,2501,272.9,0.05,5458.4,228,6,IR
IONTEC KR 50 R2500,56,559,61,2501,272.9,0.05,5458.4,228,6,IR
IONTEC KR 70 R2100 F,57,536,85,2101,333.2,0.05,6663.6,213,6,IR
IONTEC KR 70 R2100,58,536,85,2101,333.2,0.05,6663.6,213,6,IR
KR 40 PA,59,695,40,2091,120.3,0.05,2406.9,230.5,4,IR
QUANTEC KR 120 R2700-2 F,60,1069,167,2701,422,0.05,8439,164.2,6,IR
QUANTEC KR 120 R3100-2,61,1105,210,3100,589.1,0.05,11782.8,164.2,6,IR
QUANTEC KR 120 R3100-2 F,62,1105,210,3100,589.1,0.05,11782.8,164.2,6,IR
UANTEC KR 120 R3900-2 K,63,1280,146,3904,445.3,0.05,8906,157.7,6,IR
QUANTEC KR 150 R2700-2,64,1072,218,2701,549.3,0.05,10985.4,164.2,6,IR
QUANTEC KR 150 R2700-2 F,65,1072,218,2701,549.3,0.05,10985.4,164.2,6,IR
QUANTEC KR 150 R3100-2,66,1105,220,3100,617.2,0.05,12343.9,159.3,6,IR
QUANTEC KR 150 R3100-2 F,67,1105,220,3100,617.2,0.05,12343.9,159.3,6,IR
QUANTECKR 180 R2900-2,68,1105,253,2900,664,0.05,13279.6,149.3,6,IR
QUANTEC KR 180 R2900-2 F,69,1105,253,2900,664,0.05,13279.6,149.3,6,IR
